2026-04-04 16:18:12 | DEBUG    | utils.file_utils | ← download_image() [OUT] FULL  filepath='outputs/run_20260404_161805/96979332-cd76-4c81-8557-818e343ccb81.png', size_kb=239
2026-04-04 16:18:12 | INFO     | service.video_service | → generate_video() [IN]  img_url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', prompt_preview='The girl performs an energetic rap with dynamic gestures and movement. Camera sl', resolution='720P', duration=15, audio=False
2026-04-04 16:18:12 | DEBUG    | service.video_service | → generate_video() [IN] FULL  img_url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', prompt_preview='The girl performs an energetic rap with dynamic gestures and movement. Camera sl', resolution='720P', duration=15, audio=False
2026-04-04 16:18:12 | INFO     | service.video_service | → submit_video_task() [IN]  img_url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', prompt_preview='The girl performs an energetic rap with dynamic gestures and movement. Camera sl', resolution='720p', duration=15
2026-04-04 16:18:12 | DEBUG    | service.video_service | → submit_video_task() [IN] FULL  img_url='https://v3b.fal.media/files/b/0a94f605/QNf0HwArGJkkiA9kUv0G0.jpg', prompt_preview='The girl performs an energetic rap with dynamic gestures and movement. Camera sl', resolution='720p', duration=15
2026-04-04 16:18:12 | INFO     | service.video_service | ← submit_video_task() [OUT]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status_url='https://queue.fal.run/fal-ai/wan/requests/019d5aca-2cda-79d1-a064-6b433c49c17f/status'
2026-04-04 16:18:12 | DEBUG    | service.video_service | ← submit_video_task() [OUT] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status_url='https://queue.fal.run/fal-ai/wan/requests/019d5aca-2cda-79d1-a064-6b433c49c17f/status'
2026-04-04 16:18:12 | INFO     | service.video_service | → poll_video_task() [IN]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f'
2026-04-04 16:18:12 | DEBUG    | service.video_service | → poll_video_task() [IN] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f'
2026-04-04 16:18:12 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=0
